Driver,Compound,DegradationScore
ALB,HARD,0.8195998012029152
ALB,MEDIUM,0.4243171734410589
ALB,SOFT,0.8322871937378049
ALO,HARD,0.33184000107239336
ALO,MEDIUM,0.23049643292764307
ANT,MEDIUM,0.6398742790439121
ANT,SOFT,0.3931530820942972
BEA,HARD,0.8258597551746351
BEA,SOFT,-0.16368641982848192
BOR,HARD,0.802812004032209
BOR,MEDIUM,-0.39737917632125974
DOO,HARD,0.6900431541401493
DOO,MEDIUM,0.832894422193032
DOO,SOFT,0.7814304086978944
GAS,HARD,0.7363499634543877
GAS,MEDIUM,0.38185241492509175
GAS,SOFT,0.9528625171569781
HAD,HARD,0.22587627834103224
HAD,MEDIUM,0.47457505512368975
HAD,SOFT,-0.6982919860679183
HAM,HARD,0.8231212010663717
HAM,MEDIUM,0.18444942968982506
HUL,MEDIUM,-0.06276792415098313
HUL,SOFT,-0.9565500500787455
LAW,HARD,0.75727903927848
LAW,MEDIUM,0.5136348735421382
LAW,SOFT,0.18141059971617143
LEC,HARD,0.9082295484728343
LEC,MEDIUM,0.4683398810943166
NOR,MEDIUM,0.0451578506259779
NOR,SOFT,0.9013834313793629
OCO,HARD,0.8302789610808273
OCO,MEDIUM,0.8178388514058169
OCO,SOFT,0.8634306823421912
PIA,MEDIUM,-0.2440957363791018
PIA,SOFT,0.9060200178105676
RUS,MEDIUM,-0.40058289078107223
RUS,SOFT,0.562284491680324
SAI,HARD,0.8423174404189757
SAI,MEDIUM,0.8951151918557245
SAI,SOFT,0.5585057199348508
STR,HARD,0.02711257776220962
STR,MEDIUM,0.47754807527464155
STR,SOFT,0.6428618750863803
TSU,MEDIUM,0.840527677229941
TSU,SOFT,-0.11114154781188927
VER,HARD,0.6144043719300445
VER,MEDIUM,0.5545960205977098
VER,SOFT,0.9158500791446534
