Driver,Team,LapNumber,Position,Compound,TyreLife,Stint,TrackStatus,LapTimeSeconds,PitLap,PitNextLap,LapsRemaining,RaceProgress,AvgPaceLast3,AvgPaceLast5,AvgPaceLast10,DegradationRate,CurrentStintLength,PitStopsCompleted,Season,Race
ALB,Williams,2.0,20.0,MEDIUM,2.0,1.0,1,102.374,0,0,60.0,0.03225806451612903,102.374,102.374,102.374,0.0,1.0,0,2025,Pre-Season Testing
ALB,Williams,3.0,20.0,MEDIUM,3.0,1.0,1,100.171,0,0,59.0,0.04838709677419355,101.27250000000001,101.27250000000001,101.27250000000001,-1.1015000000000015,2.0,0,2025,Pre-Season Testing
ALB,Williams,4.0,20.0,MEDIUM,4.0,1.0,1,100.091,0,0,58.0,0.06451612903225806,100.87866666666666,100.87866666666666,100.87866666666666,-0.7876666666666665,3.0,0,2025,Pre-Season Testing
ALB,Williams,5.0,20.0,MEDIUM,5.0,1.0,1,99.142,0,0,57.0,0.08064516129032258,99.80133333333333,100.4445,100.4445,-1.302500000000009,4.0,0,2025,Pre-Season Testing
ALB,Williams,6.0,20.0,MEDIUM,6.0,1.0,1,100.67,0,0,56.0,0.0967741935483871,99.96766666666667,100.4896,100.4896,0.1804000000000059,5.0,0,2025,Pre-Season Testing
ALB,Williams,7.0,20.0,MEDIUM,7.0,1.0,12,99.483,0,0,55.0,0.11290322580645161,99.765,99.91139999999999,100.32183333333334,-0.42839999999998213,6.0,0,2025,Pre-Season Testing
ALB,Williams,8.0,20.0,MEDIUM,8.0,1.0,1,99.48,0,0,54.0,0.12903225806451613,99.87766666666668,99.7732,100.20157142857144,-0.2931999999999988,7.0,0,2025,Pre-Season Testing
ALB,Williams,9.0,20.0,MEDIUM,9.0,1.0,1,99.185,0,0,53.0,0.14516129032258066,99.38266666666668,99.592,100.0745,-0.4069999999999965,8.0,0,2025,Pre-Season Testing
ALB,Williams,10.0,20.0,MEDIUM,10.0,1.0,1,98.941,0,0,52.0,0.16129032258064516,99.202,99.5518,99.94855555555556,-0.6107999999999976,9.0,0,2025,Pre-Season Testing
ALB,Williams,11.0,20.0,MEDIUM,11.0,1.0,1,98.758,0,0,51.0,0.1774193548387097,98.96133333333334,99.16940000000001,99.8295,-0.41140000000001464,10.0,0,2025,Pre-Season Testing
ALB,Williams,12.0,20.0,MEDIUM,12.0,1.0,1,99.603,0,0,50.0,0.1935483870967742,99.10066666666667,99.1934,99.5524,0.4095999999999975,11.0,0,2025,Pre-Season Testing
ALB,Williams,13.0,19.0,MEDIUM,13.0,1.0,1,100.215,0,0,49.0,0.20967741935483872,99.52533333333334,99.3404,99.5568,0.8746000000000009,12.0,0,2025,Pre-Season Testing
ALB,Williams,14.0,18.0,MEDIUM,14.0,1.0,1,98.819,0,0,48.0,0.22580645161290322,99.54566666666666,99.2672,99.42960000000001,-0.44819999999999993,13.0,0,2025,Pre-Season Testing
ALB,Williams,15.0,17.0,MEDIUM,15.0,1.0,1,99.028,0,0,47.0,0.24193548387096775,99.354,99.2846,99.4182,-0.2565999999999917,14.0,0,2025,Pre-Season Testing
ALB,Williams,16.0,17.0,MEDIUM,16.0,1.0,1,98.507,0,0,46.0,0.25806451612903225,98.78466666666668,99.23440000000001,99.2019,-0.7274000000000029,15.0,0,2025,Pre-Season Testing
ALB,Williams,17.0,17.0,MEDIUM,17.0,1.0,1,98.427,0,0,45.0,0.27419354838709675,98.654,98.9992,99.0963,-0.5721999999999952,16.0,0,2025,Pre-Season Testing
ALB,Williams,18.0,17.0,MEDIUM,18.0,1.0,1,98.647,0,0,44.0,0.2903225806451613,98.527,98.6856,99.013,-0.0385999999999882,17.0,0,2025,Pre-Season Testing
ALB,Williams,19.0,17.0,MEDIUM,19.0,1.0,1,98.389,0,0,43.0,0.3064516129032258,98.48766666666667,98.5996,98.9334,-0.21059999999999945,18.0,0,2025,Pre-Season Testing
ALB,Williams,20.0,17.0,MEDIUM,20.0,1.0,1,98.469,0,0,42.0,0.3225806451612903,98.50166666666667,98.48780000000001,98.8862,-0.01880000000001303,19.0,0,2025,Pre-Season Testing
ALB,Williams,21.0,16.0,MEDIUM,21.0,1.0,1,98.668,0,0,41.0,0.3387096774193548,98.50866666666667,98.52000000000001,98.8772,0.14799999999999613,20.0,0,2025,Pre-Season Testing
ALB,Williams,22.0,16.0,MEDIUM,22.0,1.0,1,98.446,0,0,40.0,0.3548387096774194,98.52766666666666,98.52380000000001,98.7615,-0.07780000000001053,21.0,0,2025,Pre-Season Testing
ALB,Williams,23.0,16.0,MEDIUM,23.0,1.0,1,98.445,0,0,39.0,0.3709677419354839,98.51966666666665,98.48339999999999,98.5845,-0.03839999999999577,22.0,0,2025,Pre-Season Testing
ALB,Williams,24.0,14.0,MEDIUM,24.0,1.0,1,98.64,0,0,38.0,0.3870967741935484,98.51033333333332,98.5336,98.5666,0.10639999999999361,23.0,0,2025,Pre-Season Testing
ALB,Williams,25.0,14.0,MEDIUM,25.0,1.0,1,97.975,0,0,37.0,0.4032258064516129,98.35333333333334,98.4348,98.4613,-0.4598000000000013,24.0,0,2025,Pre-Season Testing
ALB,Williams,26.0,14.0,MEDIUM,26.0,1.0,1,99.363,0,0,36.0,0.41935483870967744,98.65933333333334,98.5738,98.54690000000001,0.7891999999999939,25.0,0,2025,Pre-Season Testing
ALB,Williams,27.0,14.0,MEDIUM,27.0,1.0,1,98.21,0,0,35.0,0.43548387096774194,98.516,98.5266,98.5252,-0.3166000000000082,26.0,0,2025,Pre-Season Testing
ALB,Williams,28.0,13.0,MEDIUM,28.0,1.0,1,97.694,0,0,34.0,0.45161290322580644,98.42233333333333,98.37639999999999,98.4299,-0.682399999999987,27.0,0,2025,Pre-Season Testing
ALB,Williams,29.0,13.0,MEDIUM,29.0,1.0,1,97.84,0,0,33.0,0.46774193548387094,97.91466666666668,98.2164,98.375,-0.37639999999998963,28.0,0,2025,Pre-Season Testing
ALB,Williams,30.0,13.0,MEDIUM,30.0,1.0,1,97.733,0,0,32.0,0.4838709677419355,97.75566666666668,98.16799999999999,98.3014,-0.43499999999998806,29.0,0,2025,Pre-Season Testing
ALB,Williams,31.0,12.0,MEDIUM,31.0,1.0,1,97.831,0,0,31.0,0.5,97.80133333333333,97.8616,98.21770000000001,-0.030599999999992633,30.0,0,2025,Pre-Season Testing
ALB,Williams,32.0,12.0,MEDIUM,32.0,1.0,1,98.089,0,0,30.0,0.5161290322580645,97.88433333333334,97.8374,98.18199999999999,0.25159999999999627,31.0,0,2025,Pre-Season Testing
ALB,Williams,33.0,12.0,MEDIUM,33.0,1.0,1,98.36,0,0,29.0,0.532258064516129,98.09333333333332,97.97060000000002,98.1735,0.38939999999998065,32.0,0,2025,Pre-Season Testing
ALB,Williams,34.0,12.0,MEDIUM,34.0,1.0,1,98.286,0,0,28.0,0.5483870967741935,98.245,98.0598,98.13810000000001,0.22620000000000573,33.0,0,2025,Pre-Season Testing
ALB,Williams,35.0,12.0,MEDIUM,35.0,1.0,1,98.601,0,0,27.0,0.5645161290322581,98.41566666666665,98.2334,98.20070000000001,0.36759999999999593,34.0,0,2025,Pre-Season Testing
ALB,Williams,36.0,12.0,MEDIUM,36.0,1.0,1,98.579,0,0,26.0,0.5806451612903226,98.48866666666667,98.383,98.1223,0.19599999999999795,35.0,0,2025,Pre-Season Testing
ALB,Williams,37.0,12.0,MEDIUM,37.0,1.0,1,98.951,0,0,25.0,0.5967741935483871,98.71033333333332,98.55539999999999,98.19640000000001,0.39560000000000173,36.0,0,2025,Pre-Season Testing
ALB,Williams,38.0,11.0,MEDIUM,38.0,1.0,1,99.303,0,0,24.0,0.6129032258064516,98.94433333333332,98.744,98.3573,0.5589999999999975,37.0,0,2025,Pre-Season Testing
ALB,Williams,39.0,11.0,MEDIUM,39.0,1.0,1,98.886,0,0,23.0,0.6290322580645161,99.04666666666667,98.86399999999999,98.46189999999999,0.02200000000000557,38.0,0,2025,Pre-Season Testing
ALB,Williams,40.0,11.0,MEDIUM,40.0,1.0,1,98.624,0,0,22.0,0.6451612903225806,98.93766666666666,98.86859999999999,98.551,-0.24459999999999127,39.0,0,2025,Pre-Season Testing
ALB,Williams,41.0,11.0,MEDIUM,41.0,1.0,1,98.657,0,1,21.0,0.6612903225806451,98.72233333333334,98.88419999999999,98.6336,-0.2271999999999963,40.0,0,2025,Pre-Season Testing
