LapNumber,TyreLife,Position,LapsRemaining,RaceProgress,AvgPaceLast5,DegradationRate,PitNextLap
2.0,2.0,14.0,55.0,0.03508771929824561,99.821,0.0,0
3.0,3.0,13.0,54.0,0.05263157894736842,99.25999999999999,-0.5609999999999928,0
4.0,4.0,13.0,53.0,0.07017543859649122,99.19200000000001,-0.1360000000000099,0
5.0,5.0,13.0,52.0,0.08771929824561403,99.20824999999999,0.048750000000012506,0
6.0,6.0,13.0,51.0,0.10526315789473684,99.2192,0.0438000000000045,0
7.0,7.0,13.0,50.0,0.12280701754385964,99.16799999999999,0.39700000000000557,0
8.0,8.0,12.0,49.0,0.14035087719298245,99.4118,0.5062000000000069,0
9.0,9.0,11.0,48.0,0.15789473684210525,99.54760000000002,0.18739999999998247,0
10.0,10.0,11.0,47.0,0.17543859649122806,99.714,0.375,0
11.0,11.0,8.0,46.0,0.19298245614035087,99.83,0.01300000000000523,0
12.0,12.0,7.0,45.0,0.21052631578947367,99.905,0.03499999999999659,0
13.0,13.0,6.0,44.0,0.22807017543859648,99.9502,0.1938000000000102,0
14.0,14.0,4.0,43.0,0.24561403508771928,100.0684,0.2575999999999965,0
15.0,15.0,5.0,42.0,0.2631578947368421,100.2148,0.6062000000000012,1
18.0,2.0,16.0,39.0,0.3157894736842105,99.68800000000002,-2.4790000000000134,0
19.0,3.0,16.0,38.0,0.3333333333333333,99.34179999999999,-1.132799999999989,0
20.0,4.0,15.0,37.0,0.3508771929824561,98.84759999999999,-1.1745999999999839,0
21.0,5.0,15.0,36.0,0.3684210526315789,98.3918,-0.34480000000000643,0
22.0,6.0,15.0,35.0,0.38596491228070173,97.92240000000001,0.5515999999999934,0
23.0,7.0,14.0,34.0,0.40350877192982454,98.0574,-0.1734000000000009,0
24.0,8.0,14.0,33.0,0.42105263157894735,98.0202,0.0027999999999934744,0
25.0,9.0,14.0,32.0,0.43859649122807015,98.20379999999999,0.3872000000000071,0
26.0,10.0,14.0,31.0,0.45614035087719296,98.33399999999999,0.3640000000000043,0
27.0,11.0,13.0,30.0,0.47368421052631576,98.3806,0.3263999999999925,0
28.0,12.0,11.0,29.0,0.49122807017543857,98.5698,0.26019999999999754,0
29.0,13.0,8.0,28.0,0.5087719298245614,98.59479999999999,-0.4467999999999961,0
30.0,14.0,8.0,27.0,0.5263157894736842,98.7094,0.4545999999999992,0
31.0,15.0,8.0,26.0,0.543859649122807,98.926,0.855000000000004,1
36.0,4.0,12.0,21.0,0.631578947368421,98.99820000000001,0.06979999999998654,0
37.0,5.0,12.0,20.0,0.6491228070175439,98.75519999999999,-1.140199999999993,0
38.0,6.0,12.0,19.0,0.6666666666666666,98.69980000000001,-0.8288000000000153,0
39.0,7.0,13.0,18.0,0.6842105263157895,98.641,0.2289999999999992,0
40.0,8.0,13.0,17.0,0.7017543859649122,98.21099999999998,-0.5799999999999841,0
41.0,9.0,13.0,16.0,0.7192982456140351,97.8982,-0.3941999999999979,0
42.0,10.0,13.0,15.0,0.7368421052631579,97.9156,-0.21359999999999957,0
43.0,11.0,13.0,14.0,0.7543859649122807,97.87480000000001,-0.20780000000000598,0
44.0,12.0,13.0,13.0,0.7719298245614035,97.6302,0.01680000000000348,0
45.0,13.0,13.0,12.0,0.7894736842105263,97.64320000000001,0.05279999999999063,0
46.0,14.0,13.0,11.0,0.8070175438596491,97.809,0.5240000000000009,0
47.0,15.0,12.0,10.0,0.8245614035087719,97.69680000000001,-0.555800000000005,0
48.0,16.0,12.0,9.0,0.8421052631578947,97.6722,-0.12820000000000675,0
49.0,17.0,12.0,8.0,0.8596491228070176,97.6682,-0.041200000000003456,0
50.0,18.0,12.0,7.0,0.8771929824561403,97.70160000000001,0.16139999999998622,0
51.0,19.0,12.0,6.0,0.8947368421052632,97.59700000000001,0.21299999999999386,0
52.0,20.0,12.0,5.0,0.9122807017543859,97.885,0.695999999999998,0
53.0,21.0,12.0,4.0,0.9298245614035088,98.0616,0.36540000000000816,0
54.0,22.0,12.0,3.0,0.9473684210526315,98.25900000000001,0.35499999999998977,0
55.0,23.0,12.0,2.0,0.9649122807017544,98.4496,0.3663999999999987,0
56.0,24.0,12.0,1.0,0.9824561403508771,98.7316,0.4883999999999986,0
57.0,25.0,12.0,0.0,1.0,98.94820000000001,0.7157999999999873,0
2.0,2.0,13.0,55.0,0.03508771929824561,100.514,0.0,0
3.0,3.0,14.0,54.0,0.05263157894736842,100.2655,-0.24850000000000705,0
4.0,4.0,14.0,53.0,0.07017543859649122,99.94966666666666,-0.6316666666666606,0
5.0,5.0,15.0,52.0,0.08771929824561403,100.101,0.45400000000000773,0
6.0,6.0,15.0,51.0,0.10526315789473684,99.9986,-0.4095999999999975,0
7.0,7.0,15.0,50.0,0.12280701754385964,99.8796,0.039400000000000546,0
8.0,8.0,15.0,49.0,0.14035087719298245,99.9152,0.2797999999999945,0
9.0,9.0,14.0,48.0,0.15789473684210525,100.0984,0.1355999999999966,0
10.0,10.0,13.0,47.0,0.17543859649122806,100.0612,0.3078000000000003,0
11.0,11.0,10.0,46.0,0.19298245614035087,100.14559999999999,-0.13459999999999184,0
12.0,12.0,9.0,45.0,0.21052631578947367,100.1566,-0.18259999999999366,0
13.0,13.0,8.0,44.0,0.22807017543859648,100.0678,-0.31680000000000064,0
14.0,14.0,8.0,43.0,0.24561403508771928,100.14720000000001,0.483799999999988,0
15.0,15.0,7.0,42.0,0.2631578947368421,100.1656,0.2954000000000008,1
18.0,2.0,18.0,39.0,0.3157894736842105,99.7912,-1.6522000000000077,0
19.0,3.0,17.0,38.0,0.3333333333333333,99.3874,-1.4324000000000012,0
20.0,4.0,17.0,37.0,0.3508771929824561,99.132,-0.6580000000000013,0
21.0,5.0,17.0,36.0,0.3684210526315789,98.806,0.1950000000000074,0
22.0,6.0,17.0,35.0,0.38596491228070173,98.4236,0.12540000000001328,0
23.0,7.0,17.0,34.0,0.40350877192982454,98.4974,0.010599999999996612,0
24.0,8.0,17.0,33.0,0.42105263157894735,98.65820000000001,0.10079999999999245,0
25.0,9.0,17.0,32.0,0.43859649122807015,98.80319999999999,0.39580000000000837,0
26.0,10.0,16.0,31.0,0.45614035087719296,98.6652,-0.35419999999999163,0
27.0,11.0,15.0,30.0,0.47368421052631576,98.69120000000001,-0.012200000000007094,0
28.0,12.0,12.0,29.0,0.49122807017543857,98.769,0.1280000000000001,0
29.0,13.0,11.0,28.0,0.5087719298245614,98.7576,-0.05559999999999832,0
30.0,14.0,11.0,27.0,0.5263157894736842,98.6132,-0.13620000000000232,0
31.0,15.0,13.0,26.0,0.543859649122807,98.9872,1.193799999999996,1
37.0,5.0,18.0,20.0,0.6491228070175439,98.98060000000001,-0.3346000000000089,0
38.0,6.0,18.0,19.0,0.6666666666666666,98.7824,-0.8763999999999896,0
39.0,7.0,18.0,18.0,0.6842105263157895,98.7202,-0.32920000000000016,0
40.0,8.0,18.0,17.0,0.7017543859649122,98.70240000000001,-0.31440000000000623,0
41.0,9.0,18.0,16.0,0.7192982456140351,98.37219999999999,0.15780000000000882,0
42.0,10.0,18.0,15.0,0.7368421052631579,98.37960000000001,0.30339999999999634,0
43.0,11.0,18.0,14.0,0.7543859649122807,98.5932,0.3808000000000078,0
44.0,12.0,17.0,13.0,0.7719298245614035,98.5686,-0.30060000000000286,0
45.0,13.0,17.0,12.0,0.7894736842105263,98.57520000000001,-0.154200000000003,0
46.0,14.0,17.0,11.0,0.8070175438596491,98.47319999999999,-0.4531999999999954,0
47.0,15.0,17.0,10.0,0.8245614035087719,98.3602,-0.24220000000001107,0
48.0,16.0,17.0,9.0,0.8421052631578947,98.23119999999999,0.09780000000000655,0
49.0,17.0,17.0,8.0,0.8596491228070176,98.286,0.2560000000000002,0
50.0,18.0,17.0,7.0,0.8771929824561403,98.225,-0.10899999999999466,0
51.0,19.0,17.0,6.0,0.8947368421052632,98.2684,-0.03140000000000498,0
52.0,20.0,17.0,5.0,0.9122807017543859,98.36679999999998,0.24320000000001585,0
53.0,21.0,17.0,4.0,0.9298245614035088,98.4212,0.17980000000000018,0
54.0,22.0,17.0,3.0,0.9473684210526315,98.40119999999999,0.04080000000000439,0
55.0,23.0,17.0,2.0,0.9649122807017544,98.5068,0.1372000000000071,0
56.0,24.0,17.0,1.0,0.9824561403508771,98.723,0.5949999999999989,0
57.0,25.0,17.0,0.0,1.0,98.751,-0.0010000000000047748,0
2.0,5.0,7.0,55.0,0.03508771929824561,98.187,0.0,0
3.0,6.0,7.0,54.0,0.05263157894736842,98.307,0.12000000000000455,0
4.0,7.0,7.0,53.0,0.07017543859649122,98.39266666666667,0.17133333333332246,0
5.0,8.0,6.0,52.0,0.08771929824561403,98.4245,0.09550000000000125,0
6.0,9.0,6.0,51.0,0.10526315789473684,98.4664,0.1676000000000073,0
7.0,10.0,6.0,50.0,0.12280701754385964,98.60999999999999,0.2950000000000159,0
9.0,12.0,6.0,48.0,0.15789473684210525,98.85379999999999,0.7922000000000082,0
11.0,14.0,4.0,46.0,0.19298245614035087,99.0744,0.5926000000000045,1
14.0,2.0,13.0,43.0,0.24561403508771928,98.9168,-1.1847999999999956,0
15.0,3.0,11.0,42.0,0.2631578947368421,98.8694,-0.47239999999999327,0
16.0,4.0,10.0,41.0,0.2807017543859649,98.90220000000001,0.16679999999999495,0
17.0,5.0,9.0,40.0,0.2982456140350877,98.76140000000001,0.1805999999999841,0
18.0,6.0,8.0,39.0,0.3157894736842105,98.501,-0.1360000000000099,0
19.0,7.0,8.0,38.0,0.3333333333333333,98.6208,-0.2897999999999996,0
20.0,8.0,7.0,37.0,0.3508771929824561,98.7204,0.1745999999999981,0
21.0,9.0,7.0,36.0,0.3684210526315789,98.6426,0.03740000000000521,0
