Driver,Stint,Compound,AvgLapTime,BestLapTime,WorstLapTime,MaxTyreLife,NumLaps
ALB,1.0,SOFT,99.74835714285715,98.699,100.821,15.0,14
ALB,2.0,HARD,98.38842857142858,97.209,99.781,15.0,14
ALB,3.0,MEDIUM,98.13231818181818,97.141,99.664,25.0,22
ALO,1.0,MEDIUM,100.10985714285714,99.318,100.631,15.0,14
ALO,2.0,MEDIUM,98.70221428571429,97.955,100.181,15.0,14
ALO,3.0,HARD,98.47304761904763,97.906,99.318,25.0,21
ANT,1.0,SOFT,98.81875,98.187,99.667,14.0,8
ANT,2.0,MEDIUM,98.73969230769231,97.732,99.729,14.0,13
ANT,3.0,SOFT,96.97033333333333,96.69,97.531,7.0,3
ANT,4.0,SOFT,97.9880476190476,96.985,99.546,28.0,21
BEA,1.0,SOFT,99.72775,99.246,100.284,13.0,12
BEA,2.0,HARD,98.7611875,97.48,100.234,17.0,16
BEA,3.0,SOFT,98.03315,97.303,99.704,25.0,20
BOR,1.0,MEDIUM,100.25445454545455,99.772,100.903,12.0,11
BOR,2.0,HARD,99.4385294117647,98.456,100.319,18.0,17
BOR,3.0,MEDIUM,98.80981818181817,98.006,100.448,25.0,22
DOO,1.0,SOFT,99.20842857142857,98.714,99.813,8.0,7
DOO,2.0,MEDIUM,98.861,98.013,99.897,17.0,15
DOO,3.0,HARD,98.2759090909091,96.682,99.544,29.0,22
GAS,1.0,SOFT,98.850875,98.064,100.096,12.0,8
GAS,2.0,MEDIUM,98.425875,97.388,99.69,17.0,16
GAS,3.0,HARD,97.64620833333333,96.531,99.946,29.0,24
HAD,1.0,SOFT,99.68900000000001,99.631,99.767,5.0,3
HAD,2.0,MEDIUM,99.39366666666666,98.542,100.764,21.0,18
HAD,3.0,HARD,98.27954166666666,96.952,100.318,29.0,24
HAM,1.0,MEDIUM,99.21966666666667,98.419,100.945,16.0,15
HAM,2.0,MEDIUM,97.67953846153847,96.798,98.526,14.0,13
HAM,3.0,HARD,97.34633333333333,96.235,98.438,25.0,21
HUL,1.0,SOFT,100.16066666666666,99.829,100.634,4.0,3
HUL,2.0,MEDIUM,99.4232,97.95,100.521,21.0,20
HUL,3.0,MEDIUM,98.144625,97.338,99.119,30.0,24
LAW,1.0,MEDIUM,99.95558333333334,99.609,100.299,13.0,12
LAW,2.0,HARD,99.14226666666667,97.86,100.768,17.0,15
LAW,3.0,SOFT,98.05368181818181,97.38,99.672,25.0,22
LEC,1.0,MEDIUM,98.76793333333333,98.048,99.185,16.0,15
LEC,2.0,MEDIUM,97.61115384615384,96.876,98.105,14.0,13
LEC,3.0,HARD,97.01542857142857,96.132,98.423,25.0,21
NOR,1.0,SOFT,98.53475,97.91,99.104,12.0,8
NOR,2.0,MEDIUM,98.0078,97.453,99.29,21.0,20
NOR,3.0,MEDIUM,96.7807,95.728,98.129,25.0,20
OCO,1.0,SOFT,99.07833333333333,98.726,99.447,7.0,6
OCO,2.0,MEDIUM,98.57100000000001,97.553,99.882,18.0,17
OCO,3.0,HARD,97.92544,97.098,99.099,30.0,25
PIA,1.0,SOFT,98.41666666666667,97.492,99.028,16.0,12
PIA,2.0,MEDIUM,97.65893333333334,97.142,98.063,17.0,15
PIA,3.0,MEDIUM,96.14563636363637,95.14,96.815,25.0,22
RUS,1.0,SOFT,98.66218181818182,97.817,99.152,15.0,11
RUS,2.0,MEDIUM,97.98764705882353,97.653,98.383,18.0,17
RUS,3.0,SOFT,95.68,95.518,95.842,8.0,2
SAI,1.0,SOFT,99.83958333333334,98.185,102.895,16.0,12
SAI,2.0,MEDIUM,98.7114375,96.954,100.485,17.0,16
SAI,3.0,HARD,98.70857142857143,97.832,99.736,11.0,7
STR,1.0,SOFT,100.0972,99.708,100.519,11.0,10
STR,2.0,MEDIUM,99.36888888888889,98.667,100.283,19.0,18
STR,3.0,HARD,98.73752380952381,98.064,100.255,24.0,21
TSU,1.0,SOFT,99.18625,98.565,99.687,13.0,8
TSU,2.0,MEDIUM,98.94547368421053,98.009,100.754,20.0,19
TSU,3.0,SOFT,97.9667,97.225,98.861,28.0,20
VER,1.0,SOFT,98.8455,98.403,99.67,12.0,8
VER,2.0,HARD,98.78078571428571,97.204,100.427,15.0,14
VER,3.0,MEDIUM,97.42395652173914,96.167,98.622,31.0,23
